Session: Session 1,,,
time,LM_2_O2,LM_2_RPM,LM_2_A1
(sec),(AFR),(RPM),(Volt)
28.67200,9.01,580,0.81
28.75392,9.01,580,0.82
28.83584,9.05,580,0.82
28.91776,9.05,580,0.82
28.99968,9.06,580,0.82
29.08160,9.06,580,0.82
29.16352,9.04,580,0.82
29.24544,9.05,580,0.83
29.32736,9.04,580,0.83
29.40928,9.05,580,0.83
29.49120,9.05,580,0.83
29.57312,9.04,580,0.83
29.65504,9.05,580,0.82
29.73696,9.04,580,0.85
29.81888,9.05,580,0.87
29.90080,9.06,580,1.07
29.98272,9.05,580,1.25
30.06464,9.05,600,1.25
30.14656,9.02,610,1.24
30.22848,9.00,660,1.17
30.31040,9.02,710,1.09
30.39232,8.94,760,1.04
30.47424,8.81,810,0.99
30.55616,8.67,850,0.98
30.63808,8.64,880,0.97
30.72000,8.73,900,0.97
30.80192,8.88,920,0.97
30.88384,9.04,940,0.99
30.96576,9.15,950,1.01
31.04768,9.19,960,1.07
31.12960,9.18,970,1.12
31.21152,9.17,980,1.16
31.29344,9.15,990,1.19
31.37536,9.13,1010,1.22
31.45728,9.11,1030,1.25
31.53920,9.10,1060,1.27
31.62112,9.09,1090,1.29
31.70304,9.11,1120,1.29
31.78496,9.14,1150,1.29
31.86688,9.16,1180,1.28
31.94880,9.16,1200,1.27
32.03072,9.14,1220,1.27
32.11264,9.13,1240,1.27
32.19456,9.10,1260,1.27
32.27648,9.09,1270,1.26
32.35840,9.09,1280,1.26
32.44032,9.07,1290,1.26
32.52224,9.06,1300,1.26
32.60416,9.05,1310,1.26
32.68608,9.02,1320,1.26
32.76800,9.02,1320,1.25
32.84992,9.02,1330,1.25
32.93184,9.01,1330,1.25
33.01376,8.99,1340,1.25
33.09568,8.99,1340,1.25
33.17760,8.99,1350,1.22
33.25952,8.99,1350,1.19
33.34144,9.00,1350,1.04
33.42336,9.00,1350,0.89
33.50528,8.96,1340,0.83
33.58720,8.92,1320,0.77
33.66912,8.89,1290,0.80
33.75104,8.86,1250,0.82
33.83296,8.88,1210,0.84
33.91488,8.94,1170,0.87
33.99680,8.99,1140,0.88
34.07872,9.06,1100,0.89
34.16064,9.09,1080,0.89
34.24256,9.05,1060,0.89
34.32448,9.00,1050,0.89
34.40640,8.92,1030,0.89
34.48832,8.87,1020,0.89
34.57024,8.84,1010,0.89
34.65216,8.83,1010,0.89
34.73408,8.83,1000,0.89
34.81600,8.86,1000,0.89
34.89792,8.90,990,0.89
34.97984,8.91,990,0.89
